Serial Number,Name,UUID,Hash
144,usifong-queen-of-mushin,221263d0-8775-49f8-bbf8-4b08b49e1482,fe4f99953c6aad49188d228b02c05a1e0920eb6e75e7e9eb48b5d007418397cd
145,akinyim-the-agbaya,c1070dce-48a1-4ae8-b9a4-d070859a8377,d952b13763744dd65e586ff0e8a12ce57b5703fc6307c318e0a98ac88545f5ce
146,zawadi-mr-sleep-everywhere,c22489fe-574b-47f3-9667-c9c798b2d4df,0660037f486595ad1c3f7ffa920e81a5f796c9dddbcee0ef4b6fbc90cd357601
147,chepkirui-mr-self-love,1a91e778-d214-476b-a667-94e9ecb8b5ce,6e4161a60214d49cbe0431495df5acbdc4e31376f91071f71b44e309178f637b
148,naserian-mr-fear-fear,8177cf38-8284-4eb4-b19c-04473bcb3b5e,9a9e997d90598e02d288c545a136618278990edd4fa2529dee5a360aedadaa8b
149,wawuda-the-ashawo-of-africa,0554bf35-f588-4009-aafc-ef875b878c29,467303f6fba2b8c9fd11a2b32c5d05a5293d151af4004233334fdf766e0b8454
150,kerubo-the-igbo-smoker,33ba8e73-7949-4bc7-ba27-37ee1d573946,9cb7346a49cad858ed6be78fc198bb925638afa9a64f312e091de606610ddd59
151,rehema-the- olodo,1fb33783-4898-48cf-8a73-f81afc71e1a8,f20e4cbf05309f7ac13096150ad84f6f6f2999086a7f5279cdfdfb458866598d
152,nekesa-the-brainbox,7ba909bd-19a1-454d-a86c-a45e85cb94a6,9ad05ebca6f80cb581161677dadaa0aeb8f4bee5f2ff1f64f7e89b38fdf4d209
153,kiokoli-the-slowrunner,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,fbdabbf40443c6536d5d1b6b47919d3ef811ca35128d90f0b383ee1e399e41ab
154,adjuani-uncle-wire-wire,36cd959f-d280-41f6-af76-765715c72527,11a9db5be31099a7c47e552881a4bb5498d7b1373818b73c4f8f82d7e35be008
